Fly,Date,Window,RollingMean,LongRunMean,LongRunStd,ShiftSigma,Direction
Fly6,2024-06-05,60,-0.03470833333333469,-0.016083860759493657,0.015422345499207055,-1.2076290584203688,cheap/compressed
Fly6,2024-06-06,60,-0.034250000000001064,-0.016083860759493657,0.015422345499207055,-1.1779102758034714,cheap/compressed
Fly6,2024-06-07,60,-0.03387500000000117,-0.016083860759493657,0.015422345499207055,-1.15359490820785,cheap/compressed
Fly6,2024-06-10,60,-0.03362500000000068,-0.016083860759493657,0.015422345499207055,-1.1373846631440665,cheap/compressed
Fly6,2024-06-11,60,-0.03345833333333393,-0.016083860759493657,0.015422345499207055,-1.1265778331015595,cheap/compressed
Fly6,2024-06-12,60,-0.03333333333333357,-0.016083860759493657,0.015422345499207055,-1.1184727105696601,cheap/compressed
Fly6,2024-06-13,60,-0.033125000000000425,-0.016083860759493657,0.015422345499207055,-1.1049641730165456,cheap/compressed
Fly6,2024-06-14,60,-0.03291666666666728,-0.016083860759493657,0.015422345499207055,-1.0914556354634313,cheap/compressed
Fly6,2024-06-17,60,-0.03291666666666752,-0.016083860759493657,0.015422345499207055,-1.0914556354634466,cheap/compressed
Fly6,2024-06-18,60,-0.0328333333333345,-0.016083860759493657,0.015422345499207055,-1.0860522204422163,cheap/compressed
Fly6,2024-06-19,60,-0.03262500000000112,-0.016083860759493657,0.015422345499207055,-1.0725436828890864,cheap/compressed
Fly6,2024-06-20,60,-0.032250000000000514,-0.016083860759493657,0.015422345499207055,-1.048228315293419,cheap/compressed
Fly6,2024-06-21,60,-0.03195833333333411,-0.016083860759493657,0.015422345499207055,-1.0293163627190587,cheap/compressed
Fly6,2024-06-24,60,-0.03158333333333445,-0.016083860759493657,0.015422345499207055,-1.0050009951234526,cheap/compressed
Fly7,2024-03-26,60,-0.03737500000000153,-0.011531100478469064,0.014830250555355171,-1.7426475314808685,cheap/compressed
Fly7,2024-03-27,60,-0.03720833333333502,-0.011531100478469064,0.014830250555355171,-1.7314092407962698,cheap/compressed
Fly7,2024-03-28,60,-0.03695833333333501,-0.011531100478469064,0.014830250555355171,-1.7145518047693553,cheap/compressed
Fly7,2024-04-02,60,-0.03666666666666861,-0.011531100478469064,0.014830250555355171,-1.6948847960713076,cheap/compressed
Fly7,2024-04-03,60,-0.03633333333333534,-0.011531100478469064,0.014830250555355171,-1.6724082147020938,cheap/compressed
Fly7,2024-04-04,60,-0.036083333333335334,-0.011531100478469064,0.014830250555355171,-1.6555507786751795,cheap/compressed
Fly7,2024-04-05,60,-0.03575000000000183,-0.011531100478469064,0.014830250555355171,-1.63307419730595,cheap/compressed
Fly7,2024-04-08,60,-0.03537500000000193,-0.011531100478469064,0.014830250555355171,-1.6077880432655864,cheap/compressed
Fly7,2024-04-09,60,-0.03516666666666832,-0.011531100478469064,0.014830250555355171,-1.593740179909806,cheap/compressed
Fly7,2024-04-10,60,-0.03487500000000144,-0.011531100478469064,0.014830250555355171,-1.574073171211726,cheap/compressed
Fly7,2024-04-11,60,-0.034583333333334805,-0.011531100478469064,0.014830250555355171,-1.5544061625136623,cheap/compressed
Fly7,2024-04-12,60,-0.03454166666666841,-0.011531100478469064,0.014830250555355171,-1.5515965898425281,cheap/compressed
Fly7,2024-04-15,60,-0.03441666666666805,-0.011531100478469064,0.014830250555355171,-1.5431678718290474,cheap/compressed
Fly7,2024-04-16,60,-0.034250000000001064,-0.011531100478469064,0.014830250555355171,-1.5319295811444167,cheap/compressed
